State Abbr,State,cents/kwh,% Sun,Total Hours,Clear Days,Total energy consumption,Fossil Fuels Total,Natural Gas,Petroleum,Coal,Nuclear Total,Renwable Total,Renewable percentage,Hydro Electric,Solar,Biofuels,Geothermal,Wind
NE,Nebraska,9.96,61,2762,117,864.3,692,179.2,236.3,276.5,105.7,140.7,16.3%,11,0.1,102.4,1.2,26
NV,Nevada,11.91,79,3646,158,660.3,568.2,259.4,229.5,79.2,0,77.3,11.7%,22.7,13.6,10.7,27.5,2.9
NH,New Hampshire,18.91,54,2519,90,310.1,225.5,58.8,151.8,14.9,106.3,60.6,19.5%,13.1,0.3,43.2,0,3.9
NJ,New Jersey,15.69,56,2499,94,"2,340.20","1,799.20",798,970.4,30.7,329.5,94,4.0%,0.2,25.7,67.5,0.5,0.2
NM,New Mexico,12.84,76,3415,167,679.1,711.3,256.1,239.9,215.3,0,46.8,6.9%,0.9,6.6,17.2,0.5,21.6
NY,New York,17.48,46,2120,63,"3,742.90","2,747.60","1,386.60","1,296.40",64.7,450.1,430.2,11.5%,248.1,8.4,134.8,1.2,37.7
NC,North Carolina,11.19,60,2651,109,"2,554.80","1,761.30",460.9,798.8,501.6,428.5,200.7,7.9%,45.2,9,145.6,1,0
ND,North Dakota,9.46,59,2738,93,640.1,723.1,85.5,238.5,399.2,0,110.8,17.3%,24.1,0,26.7,1,59
OH,Ohio,12.15,50,2183,72,"3,809.60","3,208.00","1,044.30","1,106.40","1,057.40",170.3,151.3,4.0%,4.5,2.4,129.9,3.4,11
OK,Oklahoma,11.07,68,3089,139,"1,679.90","1,543.90",665.8,542,336.1,0,170.1,10.1%,13.6,0.1,42.9,0,113.5
OR,Oregon,10.53,48,2341,68,987.1,588.4,225.6,328.6,34.2,0,486.2,49.3%,335.3,3.6,72.4,3,71.9
PA,Pennsylvania,14.29,58,2614,87,"3,902.40","3,486.70","1,257.10","1,190.50","1,039.20",823.3,214.9,5.5%,25.1,4.8,149,2.2,33.9
RI,Rhode Island,19.83,58,2606,98,204.5,178.8,91.3,87.5,0,0,7.5,3.7%,0,0.2,7.1,0.1,0.1
SC,South Carolina,12.93,64,2826,115,"1,632.10","1,021.70",235.9,480.2,305.7,548.2,147.6,9.0%,24.4,0.2,122.3,0.6,0
SD,South Dakota,10.68,63,2947,104,391.9,230.5,83.5,113.9,33.1,0,139.1,35.5%,52.3,0,62.7,1.9,22.2
TN,Tennessee,10.52,56,2510,102,"2,194.50","1,411.70",312,672.2,427.5,289.4,187.6,8.5%,84.6,0.8,101.4,0.2,0.5
TX,Texas,11.41,61,2850,135,"12,899.50","11,752.70","4,219.10","5,947.60","1,586.00",410.9,606.8,4.7%,3.7,5.6,214.6,2.5,380.4
UT,Utah,10.7,66,3029,125,798,875.4,252.7,278.6,344.1,0,29.2,3.7%,6,0.5,10.6,5.8,6.3
VT,Vermont,17.51,49,2295,58,139.9,90.4,10.8,79.5,0,52.9,35.4,25.3%,11.2,0.9,20.3,0,3
VA,Virginia,11.09,63,2829,100,"2,430.20","1,500.30",437,785.1,278.2,316.1,162.4,6.7%,9.1,1.2,150.4,1.7,0
WA,Washington,9.27,47,2170,58,"2,011.90","1,092.30",319.8,696,76.5,99.3,947.9,47.1%,755.7,0.9,121.1,1.1,69.1
WV,West Virginia,11.58,50,2332,60,752.9,"1,163.30",161.7,185.2,816.5,0,55.9,7.4%,11.8,0.1,30.1,0,13.8
WI,Wisconsin,14.34,54,2428,89,"1,868.90","1,437.70",477.9,542.7,417.1,98.8,177.2,9.5%,23.5,0.8,136.8,0.6,15.4
WY,Wyoming,10.77,68,3073,114,535.6,804,141.8,172.9,489.3,0,55.4,10.3%,8.3,0,4.6,0.7,41.9
US,United States,,,,,"98,385.20","80,425.80","27,451.70","34,999.10","17,996.60","8,337.60","9,440.30",9.6%,"2,466.60",420.1,"4,611.60",214.5,"1,727.50"
